               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078024,             0.17967,            0.014626,             0.61011,             0.63674,             0.67763,             0.39373,             0.05656,            0.064987,           0.0052208,              0.0706,           0.0032667,           0.0032667
                   1,            0.060015,             0.11788,           0.0032789,             0.85054,             0.77959,             0.85638,             0.53218,             0.04591,            0.053253,           0.0019154,            0.040578,           0.0065782,           0.0065782
                   2,            0.055319,             0.11248,           0.0024084,             0.89564,             0.77931,             0.88787,             0.57536,            0.046026,            0.052002,           0.0015743,            0.010534,           0.0098678,           0.0098678
                   3,            0.052087,             0.10756,           0.0019061,             0.88431,             0.82317,             0.91336,             0.61565,             0.04345,            0.047783,           0.0012396,            0.009901,            0.009901,            0.009901
                   4,            0.049382,             0.10429,           0.0015884,             0.93092,             0.82059,             0.91547,             0.62563,            0.040103,            0.049538,           0.0010309,            0.009901,            0.009901,            0.009901
                   5,            0.047833,             0.10197,           0.0014611,             0.95656,             0.83745,             0.93304,             0.67601,            0.037578,            0.045975,          0.00082579,            0.009868,            0.009868,            0.009868
                   6,            0.046709,            0.099077,           0.0013943,             0.92675,             0.82236,             0.91873,             0.64481,              0.0384,            0.046654,          0.00071688,            0.009835,            0.009835,            0.009835
                   7,            0.046202,             0.09819,           0.0012995,             0.94388,             0.81418,              0.9129,             0.63969,            0.038945,            0.049622,          0.00075693,            0.009802,            0.009802,            0.009802
                   8,            0.045942,            0.098564,           0.0012312,             0.94889,             0.82035,             0.92696,             0.69247,            0.035644,              0.0457,          0.00059633,            0.009769,            0.009769,            0.009769
                   9,            0.045089,            0.096647,           0.0011887,             0.95049,             0.81413,             0.91087,             0.67913,             0.03685,            0.046555,          0.00066156,            0.009736,            0.009736,            0.009736
